,word,complex_percentage,length,frequency,aoa,Familiarity,Concreteness
4,",",0.0,1,0.0,,,
5,-,0.0,1,0.0,,,
6,:,0.0,1,0.0,,,
10,abandon,46.666666666666664,7,4.02,8.32,510.0,0.0
11,abandoned,37.5,9,4.4,,0.0,0.0
13,abbey,10.0,5,3.88,13.06,0.0,0.0
14,abbreviations,90.0,13,3.04,,0.0,0.0
15,abilities,10.0,9,4.21,,0.0,0.0
16,ability,0.0,7,4.96,8.84,563.0,273.0
17,aboard,60.0,6,4.14,,0.0,0.0
18,abolished,100.0,9,3.62,,0.0,0.0
19,aboriginal,21.0,10,3.78,14.75,295.0,335.0
20,aborigines,0.0,10,2.95,,0.0,0.0
22,abroad,17.5,6,4.39,,0.0,0.0
23,absent,10.0,6,3.98,6.5,0.0,0.0
24,absolutely,30.0,10,4.98,,0.0,0.0
25,absorption,13.333333333333334,10,3.66,10.94,0.0,0.0
27,abuse,45.0,5,4.66,8.61,450.0,0.0
28,abused,25.0,6,4.0,,0.0,0.0
29,abuses,30.0,6,3.69,,0.0,0.0
30,abusing,30.0,7,3.62,,0.0,0.0
31,abusive,15.0,7,3.87,9.58,0.0,0.0
33,academy,5.0,7,4.57,9.05,509.0,499.0
35,accelerated,70.0,11,3.75,10.11,0.0,0.0
36,acceptable,10.0,10,4.27,9.84,521.0,0.0
37,accepted,10.0,8,4.67,,0.0,0.0
38,access,7.368421052631579,6,5.05,9.1,0.0,0.0
39,accessible,35.0,10,4.18,9.94,0.0,0.0
40,accident,7.142857142857143,8,4.71,5.3,564.0,419.0
41,accidental,15.0,10,3.82,6.75,0.0,0.0
42,acclaimed,90.0,9,3.7,,0.0,0.0
43,accolade,100.0,8,2.82,12.43,0.0,0.0
44,accomplishment,45.0,14,3.69,9.0,0.0,0.0
45,according,4.3478260869565215,9,5.28,,0.0,0.0
46,account,5.0,7,5.21,8.26,523.0,365.0
47,accounts,6.666666666666667,8,4.73,,0.0,0.0
49,accumulates,10.0,11,2.88,,0.0,0.0
50,accumulation,45.0,12,3.59,10.5,451.0,285.0
51,accusation,30.0,10,3.6,10.17,0.0,0.0
52,accusations,55.0,11,3.85,,0.0,0.0
53,accuse,33.333333333333336,6,3.71,9.1,0.0,0.0
54,accused,21.515151515151516,7,4.46,,0.0,0.0
55,accuses,25.0,7,3.42,,0.0,0.0
56,accusing,0.0,8,3.74,,0.0,0.0
59,achieve,0.0,7,4.57,8.53,0.0,0.0
60,achieved,20.0,8,4.49,,0.0,0.0
61,achievement,15.0,11,4.36,8.8,0.0,0.0
62,achieving,30.0,9,4.03,,0.0,0.0
63,acidic,0.0,6,3.34,11.21,0.0,0.0
64,acknowledged,23.333333333333332,12,4.08,,0.0,0.0
65,acknowledges,50.0,12,3.53,,0.0,0.0
66,acquire,40.0,7,4.13,9.94,0.0,0.0
67,acquired,28.333333333333332,8,4.4,,0.0,0.0
68,acquiring,40.0,9,3.8,,0.0,0.0
69,acquisition,82.85714285714286,11,4.26,13.63,0.0,0.0
70,acquitted,70.0,9,3.44,,0.0,0.0
71,across,10.0,6,5.25,,0.0,0.0
72,act,4.285714285714286,3,5.3,6.42,566.0,379.0
73,acting,6.666666666666667,6,4.82,,0.0,0.0
75,action,13.333333333333334,6,5.25,6.67,0.0,0.0
76,actions,6.666666666666667,7,4.82,,0.0,0.0
77,activist,5.0,8,4.13,11.8,0.0,0.0
78,activists,24.0,9,4.13,,0.0,0.0
79,activity,11.666666666666666,8,4.86,6.47,0.0,0.0
80,actors,0.0,6,4.4,,0.0,0.0
81,actress,5.0,7,4.45,6.17,0.0,0.0
82,acts,6.666666666666667,4,4.64,,0.0,0.0
83,actually,3.3333333333333335,8,5.49,,0.0,0.0
84,ad,10.0,2,4.76,8.22,0.0,0.0
85,adamantly,55.0,9,2.69,,,
86,adapt,20.0,5,3.98,9.0,0.0,0.0
87,adaptation,25.0,10,4.01,11.39,0.0,0.0
88,adaptations,50.0,11,3.38,,0.0,0.0
89,addiction,40.0,9,4.14,12.11,0.0,0.0
90,addition,3.3333333333333335,8,5.01,,535.0,339.0
91,additional,13.333333333333334,10,4.98,9.0,489.0,0.0
92,additionally,10.0,12,4.2,,0.0,0.0
93,address,4.444444444444445,7,4.91,5.15,0.0,0.0
94,addressed,20.0,9,4.26,,0.0,0.0
95,adjusting,0.0,9,3.71,,0.0,0.0
96,adjustment,7.5,10,3.88,9.74,0.0,0.0
97,administered,60.0,12,3.96,,0.0,0.0
98,administration,12.0,14,4.93,11.11,502.0,331.0
99,administrations,10.0,15,3.35,,0.0,0.0
100,administrative,11.25,14,4.45,11.5,0.0,0.0
101,administrator,8.571428571428571,13,4.07,12.22,0.0,0.0
102,administrators,6.666666666666667,14,3.85,,0.0,0.0
103,admins,6.666666666666667,6,3.04,,,
104,admit,20.0,5,4.58,7.56,0.0,0.0
105,admitted,10.0,8,4.49,,0.0,0.0
106,admitting,0.0,9,3.8,,0.0,0.0
108,adopt,0.0,5,4.19,7.83,0.0,0.0
109,adopted,15.0,7,4.51,,0.0,0.0
110,adoption,35.0,8,4.17,7.79,0.0,0.0
111,advance,5.0,7,4.65,8.35,0.0,0.0
112,advanced,0.0,8,4.71,9.05,523.0,0.0
113,advancing,10.0,9,3.86,,0.0,0.0
114,advantage,15.0,9,4.78,9.32,562.0,282.0
115,adversary,80.0,9,3.29,12.67,0.0,0.0
116,advertisement,10.0,13,3.84,7.67,0.0,0.0
117,advertisements,20.0,14,3.75,,0.0,0.0
118,advertising,7.142857142857143,11,4.54,9.95,0.0,0.0
119,advise,0.0,6,4.09,8.89,0.0,0.0
120,advisers,0.0,8,3.6,,0.0,0.0
121,advocated,70.0,9,3.6,,0.0,0.0
125,aerated,10.0,7,2.32,,0.0,0.0
126,aerodynamics,100.0,12,2.93,11.5,0.0,0.0
127,aerosol,20.0,7,3.03,9.47,0.0,0.0
128,aerospace,15.0,9,3.73,12.06,0.0,0.0
129,aesthetic,30.0,9,4.02,15.74,0.0,0.0
130,affair,25.0,6,4.3,10.94,531.0,0.0
131,affairs,14.444444444444445,7,4.67,,0.0,0.0
132,affect,20.0,6,4.59,9.6,0.0,0.0
133,affected,20.0,8,4.64,,0.0,0.0
134,affecting,0.0,9,4.07,,0.0,0.0
135,affiliated,90.0,10,3.96,,0.0,0.0
136,afford,40.0,6,4.57,7.47,0.0,0.0
137,affordable,10.0,10,4.22,8.15,,
138,afghan,0.0,6,3.83,9.11,0.0,0.0
142,afghans,2.5,7,2.96,,0.0,0.0
145,afterward,30.0,9,3.83,,0.0,0.0
146,afterwards,26.0,10,4.42,,0.0,0.0
148,age,6.666666666666667,3,5.32,4.38,582.0,390.0
149,agencies,1.6666666666666667,8,4.54,,0.0,0.0
150,agency,2.2222222222222223,6,4.87,10.58,420.0,426.0
151,aggression,43.333333333333336,10,3.9,9.3,0.0,0.0
152,aggressive,18.75,10,4.32,8.32,500.0,0.0
153,agreed,0.0,6,4.84,,0.0,0.0
154,agreeing,10.0,8,3.83,,0.0,0.0
155,agreement,10.625,9,4.88,8.16,541.0,327.0
156,agreements,20.0,10,4.12,,0.0,0.0
157,agriculture,10.0,11,4.37,10.32,0.0,0.0
162,ahead,20.0,5,5.01,,0.0,0.0
164,aid,6.666666666666667,3,4.75,7.33,536.0,372.0
165,aiding,10.0,6,3.44,,0.0,0.0
166,aim,10.0,3,4.51,6.72,549.0,324.0
167,aimed,12.5,5,4.25,,0.0,0.0
168,aiming,13.333333333333334,6,3.89,,0.0,0.0
169,air,2.0,3,5.37,3.94,608.0,518.0
171,airborne,70.0,8,3.67,9.85,0.0,0.0
172,aircraft,16.666666666666668,8,4.64,7.61,0.0,0.0
173,aired,20.0,5,3.85,,0.0,0.0
174,airlifted,85.0,9,2.6,,,
175,airlines,0.0,8,4.19,,0.0,0.0
176,airport,0.0,7,4.84,6.84,0.0,0.0
177,airshow,40.0,7,2.58,,,
178,airspace,26.666666666666668,8,3.28,11.5,,
187,alas,0.0,4,3.67,,0.0,0.0
190,album,10.0,5,5.02,6.72,0.0,0.0
194,alchemists,35.0,10,2.53,,0.0,0.0
195,alchemy,30.0,7,3.21,13.35,0.0,0.0
197,alert,10.0,5,4.33,8.9,528.0,400.0
198,alerted,45.0,7,3.32,,0.0,0.0
201,alias,10.0,5,3.46,9.47,384.0,232.0
202,alighting,50.0,9,2.09,,0.0,0.0
203,aligns,70.0,6,2.88,,0.0,0.0
204,alkaline,20.0,8,3.25,13.68,0.0,0.0
205,allegations,48.26086956521739,11,4.08,,0.0,0.0
206,allege,20.0,6,3.18,12.81,279.0,0.0
207,alleged,29.0,7,4.37,12.05,0.0,0.0
208,allegedly,45.0,9,4.06,,0.0,0.0
209,alleges,90.0,7,3.32,,0.0,0.0
212,allied,35.0,6,4.07,10.85,0.0,0.0
213,allies,20.0,6,4.27,,0.0,0.0
214,ally,10.0,4,4.1,9.61,410.0,485.0
215,along,10.0,5,5.38,,0.0,0.0
216,alongside,30.0,9,4.45,,0.0,0.0
217,alphabet,5.0,8,3.7,4.22,493.0,449.0
218,alter,0.0,5,4.05,9.47,503.0,430.0
219,altered,40.0,7,4.02,,0.0,0.0
220,altimeter,35.0,9,2.48,14.13,0.0,0.0
221,altitude,18.181818181818183,8,3.92,9.58,420.0,373.0
222,altitudes,30.0,9,3.16,,0.0,0.0
224,aluminum,5.0,8,4.01,7.26,494.0,523.0
225,amalgam,100.0,7,2.85,15.25,0.0,0.0
226,amateur,30.0,7,4.22,10.53,502.0,388.0
227,amazing,10.0,7,5.1,5.22,0.0,0.0
230,ambassador,11.363636363636363,10,4.35,11.0,477.0,546.0
231,ambassadors,0.0,11,3.55,,0.0,0.0
232,amber,10.0,5,3.97,9.28,0.0,0.0
233,ambitions,27.5,9,3.64,,0.0,0.0
234,ambitious,40.0,9,3.95,11.05,540.0,0.0
235,ambulance,10.0,9,4.06,6.16,499.0,595.0
236,ambushed,100.0,8,3.21,,0.0,0.0
238,amid,40.0,4,3.95,,0.0,0.0
240,amnesty,13.333333333333334,7,3.63,12.95,0.0,0.0
242,amounted,40.0,8,3.53,,0.0,0.0
243,amounts,0.0,7,4.41,,0.0,0.0
