Unnamed: 0,Complex_Phrase,complex_percentage,frequency,length,aoa,aoa_test_based,syllable_count
5098,mark,10.0,5.05,4,,2.0,1
1723,cone,15.0,3.83,4,4.67,2.0,1
3129,motion,20.0,4.59,6,6.78,2.0,2
5287,peace,9.25925925925926,5.02,5,6.32,2.0,1
3730,receiving,10.0,4.59,9,,2.0,3
5293,from,1.25,6.63,4,,2.0,1
5308,lane,5.0,4.57,4,7.0,2.0,1
5318,dead,13.333333333333334,5.19,4,5.17,2.0,1
3725,rebuilt,30.0,3.62,7,,2.0,2
5319,wall,4.444444444444445,5.04,4,3.79,2.0,1
5322,post,0.0,5.43,4,8.11,2.0,1
5324,western,15.0,5.01,7,6.67,2.0,2
5327,hearts,0.0,4.44,6,,2.0,1
3724,rebuild,22.5,3.9,7,8.95,2.0,2
5331,young,15.0,5.43,5,4.61,2.0,1
5271,end,0.0,5.68,3,4.28,2.0,1
5249,cup,2.5,5.11,3,3.57,2.0,1
5251,back,14.583333333333334,6.04,4,,2.0,1
5252,bank,3.0,5.16,4,6.44,2.0,1
5254,summer,5.0,5.23,6,4.33,2.0,2
5255,film,2.5,5.2,4,6.95,2.0,1
5332,artist,3.3333333333333335,4.8,6,6.78,2.0,2
3119,morning,0.0,5.33,7,4.0,2.0,2
5258,for,7.083333333333333,7.01,3,,2.0,1
5264,case,8.0,5.55,4,6.74,2.0,1
5266,big,10.0,5.67,3,2.89,2.0,1
5267,question,0.0,5.35,8,6.16,2.0,2
5269,far,8.0,5.5,3,,2.0,1
5270,this,0.0,6.82,4,,2.0,1
5335,sale,16.666666666666668,4.99,4,6.76,2.0,1
5336,between,5.0,5.77,7,,2.0,2
5364,amazing,10.0,5.1,7,5.22,2.0,3
5367,that,6.25,7.01,4,,2.0,1
5368,part,12.222222222222223,5.78,4,5.11,2.0,1
1642,coming,10.0,5.4,6,,2.0,2
1640,comic,0.0,4.42,5,7.0,2.0,2
3141,mouth,10.0,4.83,5,3.58,2.0,1
5370,off,18.833333333333332,5.93,3,,2.0,1
1625,collection,40.0,4.96,10,7.21,2.0,3
5361,along,10.0,5.38,5,,2.0,2
1613,coating,10.0,3.71,7,8.56,2.0,2
5371,angry,10.0,4.66,5,4.45,2.0,2
1603,club,10.0,5.2,4,5.89,2.0,1
5374,anyone,0.0,5.38,6,,2.0,3
5377,are,5.0,6.74,3,,2.0,1
