Unnamed: 0,Complex_Phrase,complex_percentage,frequency,length,aoa
7,abbey,0.0,3.88,5,13.06
8,aboriginal,40.0,3.78,10,14.75
9,academy,0.0,4.57,7,9.05
11,according,7.777777777777778,5.28,9,
14,activist,0.0,4.13,8,11.8
15,activists,24.0,4.13,9,
16,actress,0.0,4.45,7,6.17
17,additionally,10.0,4.2,12,
18,administrator,10.0,4.07,13,12.22
22,aerospace,30.0,3.73,9,12.06
23,affordable,20.0,4.22,10,8.15
24,afghan,0.0,3.83,6,9.11
27,afghans,0.0,2.96,7,
28,afterwards,35.0,4.42,10,
37,alas,0.0,3.67,4,
41,alchemical,20.0,2.5,10,15.64
44,alphabet,0.0,3.7,8,4.22
46,ambassador,12.941176470588236,4.35,10,11.0
48,amnesty,30.0,3.63,7,12.95
49,amongst,0.0,4.31,7,
50,analysts,46.666666666666664,3.84,8,
52,android,10.0,4.42,7,13.89
54,angel,0.0,4.45,5,4.0
55,angers,20.0,2.91,6,
57,antitrust,90.0,3.37,9,14.88
60,apache,0.0,3.54,6,10.5
67,archbishop,0.0,3.82,10,10.45
68,archivists,50.0,2.48,10,
72,arriving,0.0,4.16,8,
73,article,10.0,5.09,7,8.61
77,assembly,5.0,4.61,8,6.94
78,asserting,100.0,3.35,9,
79,associated,10.0,4.89,10,
80,association,0.0,5.01,11,10.76
81,atlantic,0.0,4.39,8,
82,auditorium,0.0,3.51,10,6.94
87,authorities,19.6875,4.63,11,
88,authority,15.0,4.81,9,7.5
90,aviation,70.0,4.17,8,10.32
91,axis,20.0,4.02,4,12.1
103,bandit,10.0,3.37,6,8.15
104,bangkok,10.0,3.84,7,
108,baroque,50.0,3.32,7,13.54
109,barracks,10.0,3.67,8,
110,bastion,10.0,3.31,7,15.35
124,biologist,10.0,3.35,9,10.9
125,birther,10.0,2.34,7,
129,blend,10.0,3.95,5,10.17
131,board,10.0,5.24,5,6.37
132,bogs,35.0,2.85,4,
133,bomb,0.0,4.6,4,8.0
135,born,10.0,5.09,4,4.68
139,brands,10.0,4.32,6,
147,buffy,6.666666666666667,3.42,5,
152,bureau,10.0,4.41,6,11.95
156,ce,10.0,3.83,2,
162,canary,10.0,3.44,6,7.32
169,cathedral,10.0,3.99,9,10.58
171,catholic,10.0,4.55,8,7.84
172,caucus,20.0,3.58,6,14.88
173,census,10.0,4.19,6,11.14
175,chairman,10.0,4.8,8,10.84
176,championships,20.0,4.03,13,
178,chapel,20.0,4.03,6,6.95
184,chiefs,0.0,4.07,6,
187,circuit,0.0,4.47,7,11.78
190,citizens,7.5,4.72,8,
191,civil,0.0,4.93,5,10.89
192,clarinet,20.0,3.12,8,9.22
193,clashes,20.0,3.53,7,
194,cocos,15.0,2.58,5,
195,coding,10.0,3.81,6,11.84
