Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
mark,5.05,4,2.0,1,0,4.0,3.5,3.0,3.0,A2,2
mark,5.05,4,2.0,1,0,4.0,3.5,3.0,3.0,A2,2
cone,3.83,4,2.0,1,1,3.5,4.5,4.0,4.0,B1,1
cone,3.83,4,2.0,1,1,3.5,4.5,4.0,4.0,B1,1
motion,4.59,6,2.0,2,1,4.0,2.5,3.0,5.0,B2,2
motion,4.59,6,2.0,2,1,4.0,2.5,3.0,5.0,B2,2
peace,5.02,5,2.0,1,0,4.5,2.5,3.0,4.0,A2,2
peace,5.02,5,2.0,1,0,4.5,2.5,3.0,4.0,B1,2
receiving,4.59,9,2.0,3,0,4.0,2.0,2.5,5.0,A2,5
receiving,4.59,9,2.0,3,0,4.0,2.0,2.5,5.0,A2,5
from,6.63,4,2.0,1,0,4.5,1.5,1.2,3.0,A1,2
lane,4.57,4,2.0,1,0,4.0,4.2,3.8,5.0,B1,4
lane,4.57,4,2.0,1,0,4.0,4.2,3.8,5.0,B1,4
dead,5.19,4,2.0,1,1,4.5,3.0,3.5,3.5,A2,2
dead,5.19,4,2.0,1,1,4.5,3.0,3.5,4.0,A2,2
rebuilt,3.62,7,2.0,2,1,3.5,3.2,3.0,8.0,B2,1
wall,5.04,4,2.0,1,0,4.7,4.8,4.5,3.5,A1,4
post,5.43,4,2.0,1,0,4.0,3.0,2.5,5.0,A2,2
post,5.43,4,2.0,1,0,4.0,3.0,2.5,5.0,A2,2
western,5.01,7,2.0,2,1,4.0,3.0,3.5,5.0,B1,1
western,5.01,7,2.0,2,1,4.0,3.0,3.5,6.5,B1,1
hearts,4.44,6,2.0,1,0,4.2,3.5,4.0,3.0,A1,4
rebuild,3.9,7,2.0,2,1,3.8,3.5,3.2,7.0,B2,1
young,5.43,5,2.0,1,1,4.5,2.5,3.0,3.0,A1,2
young,5.43,5,2.0,1,1,4.5,3.0,3.5,3.0,A1,2
end,5.68,3,2.0,1,0,4.0,2.5,2.0,3.0,A1,2
end,5.68,3,2.0,1,0,4.0,2.5,2.0,3.0,A1,2
cup,5.11,3,2.0,1,0,4.7,4.8,4.6,2.5,A1,4
back,6.04,4,2.0,1,1,4.0,3.5,3.0,3.0,A1,2
bank,5.16,4,2.0,1,0,4.5,4.0,3.5,3.5,A1,4
bank,5.16,4,2.0,1,0,4.5,3.5,3.0,4.0,A1,2
summer,5.23,6,2.0,2,0,4.8,4.5,4.7,3.0,A1,4
film,5.2,4,2.0,1,0,4.5,3.0,3.5,5.0,A1,2
artist,4.8,6,2.0,2,0,4.5,3.0,4.0,4.0,A1,2
artist,4.8,6,2.0,2,0,4.5,3.0,4.0,4.0,A1,2
morning,5.33,7,2.0,2,0,4.8,4.2,4.5,3.0,A1,4
for,7.01,3,2.0,1,0,5.0,1.2,1.1,2.0,A1,2
case,5.55,4,2.0,1,0,4.0,3.0,2.5,3.5,A2,2
case,5.55,4,2.0,1,0,4.0,3.0,2.5,3.5,A2,2
big,5.67,3,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
big,5.67,3,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
far,5.5,3,2.0,1,0,4.0,2.0,2.5,3.5,A1,2
this,6.82,4,2.0,1,0,4.5,1.5,1.5,2.0,A1,2
sale,4.99,4,2.0,1,1,4.0,2.5,2.0,5.0,A2,2
sale,4.99,4,2.0,1,1,4.0,2.5,2.0,5.0,A1,2
between,5.77,7,2.0,2,0,4.5,2.0,2.0,4.0,A2,2
amazing,5.1,7,2.0,3,0,4.5,2.0,3.5,5.0,A2,2
amazing,5.1,7,2.0,3,0,4.5,2.0,3.5,5.0,A2,2
that,7.01,4,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
part,5.78,4,2.0,1,1,4.0,3.0,2.5,3.5,A1,2
coming,5.4,6,2.0,2,0,4.0,2.0,2.5,3.0,A1,2
comic,4.42,5,2.0,2,0,4.0,3.5,3.8,6.0,B1,1
mouth,4.83,5,2.0,1,0,4.7,4.8,4.5,3.0,A1,4
off,5.93,3,2.0,1,1,4.0,2.0,2.5,3.0,A1,2
collection,4.96,10,2.0,3,1,3.5,2.8,2.5,7.0,B1,5
collection,4.96,10,2.0,3,1,3.5,2.5,2.0,7.0,B1,5
along,5.38,5,2.0,2,0,4.0,2.0,2.5,3.5,A2,2
along,5.38,5,2.0,2,0,4.0,2.0,2.5,3.5,A2,2
coating,3.71,7,2.0,2,0,3.5,3.8,3.2,5.0,B2,1
angry,4.66,5,2.0,2,0,4.5,3.0,4.0,3.0,A1,2
club,5.2,4,2.0,1,0,4.2,3.5,3.0,4.0,A1,2
club,5.2,4,2.0,1,0,4.5,4.2,3.8,5.0,A1,4
anyone,5.38,6,2.0,3,0,4.0,2.0,2.5,3.5,A1,5
are,6.74,3,2.0,1,0,4.8,1.2,1.1,3.0,A1,2
reach,4.94,5,2.0,1,1,4.2,3.0,3.5,4.0,A2,2
close,5.36,5,2.0,1,0,4.0,2.5,2.0,3.5,A1,2
close,5.36,5,2.0,1,0,4.0,2.5,2.0,3.5,A1,2
necessary,4.91,9,2.0,4,0,4.2,2.0,2.1,7.0,B1,5
all,6.52,3,2.0,1,0,4.5,1.5,1.5,2.5,A1,2
lion,4.25,4,2.0,2,0,4.5,4.8,4.7,3.0,A1,4
lion,4.25,4,2.0,2,0,4.5,4.8,4.7,3.0,A1,4
long,5.81,4,2.0,1,1,4.0,2.5,2.0,3.5,A1,2
long,5.81,4,2.0,1,1,4.0,2.0,2.5,3.5,A1,2
time,6.29,4,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
time,6.29,4,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
place,5.71,5,2.0,1,0,4.0,3.5,3.0,3.0,A1,2
rich,4.91,4,2.0,1,0,4.5,2.5,3.0,4.0,A2,2
completed,4.77,9,2.0,3,0,4.5,2.0,2.5,5.0,A2,5
completed,4.77,9,2.0,3,0,4.5,2.0,2.5,5.0,B1,5
account,5.21,7,2.0,2,0,4.0,2.5,2.0,8.0,B1,2
name,5.61,4,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
across,5.25,6,2.0,2,0,4.2,2.5,2.0,4.0,A1,2
acting,4.82,6,2.0,2,0,4.0,2.5,3.0,6.0,B1,2
balance,4.76,7,2.0,2,0,4.2,3.0,3.5,4.0,B1,1
over,6.08,4,2.0,2,1,4.5,2.0,2.0,3.0,A1,2
live,5.54,4,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
live,5.54,4,2.0,1,0,4.5,2.5,3.0,3.0,A1,2
reflect,4.39,7,2.0,2,1,3.5,2.5,3.0,8.0,B2,1
refrigerator,3.61,12,2.0,5,1,4.7,4.8,4.6,3.5,A2,1
refrigerator,3.61,12,2.0,5,1,4.5,4.8,4.7,4.0,A2,1
her,6.3,3,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
deliver,4.55,7,2.0,3,1,4.0,2.5,2.0,5.0,B1,5
deliver,4.55,7,2.0,3,1,4.0,2.5,2.0,5.0,B1,5
party,5.49,5,2.0,2,0,4.5,3.5,4.0,4.0,A1,2
party,5.49,5,2.0,2,0,4.5,3.5,4.0,4.0,A1,2
path,4.71,4,2.0,1,1,4.2,3.5,3.8,4.0,A2,4
sea,5.06,3,2.0,1,0,4.5,4.8,4.7,3.0,A1,4
sea,5.06,3,2.0,1,0,4.5,4.8,4.7,3.0,A1,4
police,5.33,6,2.0,2,0,4.7,4.2,4.0,3.5,A1,2
police,5.33,6,2.0,2,0,4.7,4.2,4.0,3.5,A1,2
sports,4.94,6,2.0,1,0,4.5,3.5,4.0,4.0,A1,4
sports,4.94,6,2.0,1,0,4.5,3.5,4.0,4.0,A1,4
course,5.44,6,2.0,1,0,4.5,3.0,2.5,4.0,A1,2
course,5.44,6,2.0,1,0,4.5,3.0,2.5,5.0,A1,2
defend,4.47,6,2.0,2,0,4.0,2.3,3.0,6.5,B1,2
defend,4.47,6,2.0,2,0,4.0,2.5,2.0,7.0,B1,2
more,6.36,4,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
station,5.01,7,2.0,2,1,4.5,4.2,3.8,5.0,A1,4
navy,4.57,4,2.0,2,0,4.0,3.5,3.0,7.0,B1,1
new,6.25,3,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
new,6.25,3,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
belt,4.42,4,2.0,1,0,4.5,4.7,4.2,3.5,A1,4
belt,4.42,4,2.0,1,0,4.5,4.8,4.2,3.5,A1,4
mice,4.09,4,2.0,1,1,4.2,4.5,4.3,3.0,A1,4
mice,4.09,4,2.0,1,1,4.5,4.8,4.7,3.0,A1,4
denied,4.43,6,2.0,2,1,4.0,2.0,2.0,7.0,B2,5
denied,4.43,6,2.0,2,1,4.0,2.0,2.5,7.5,B2,2
hockey,4.42,6,2.0,2,0,4.7,4.5,4.3,7.0,A2,4
human,5.35,5,2.0,2,0,4.8,4.5,4.7,3.0,A2,4
human,5.35,5,2.0,2,0,5.0,4.5,4.8,2.5,A2,4
is,7.07,2,2.0,1,0,5.0,1.0,1.0,2.0,A1,2
membership,4.47,10,2.0,3,0,3.5,2.0,2.0,8.0,B1,0
membership,4.47,10,2.0,3,0,3.5,2.0,2.5,8.0,B1,0
memory,4.81,6,2.0,3,0,4.5,2.5,3.0,4.0,B1,2
motor,4.53,5,2.0,2,0,4.2,4.5,3.8,6.0,A2,4
motor,4.53,5,2.0,2,0,4.2,4.5,3.8,5.0,A2,4
destroy,4.52,7,2.0,2,0,4.0,2.0,2.5,5.0,B1,2
destroy,4.52,7,2.0,2,0,4.0,2.0,2.5,5.0,B1,2
iron,4.74,4,2.0,2,0,4.2,4.5,4.0,4.0,A2,4
design,5.17,6,2.0,2,0,4.0,2.5,3.0,7.0,A2,2
describe,4.56,8,2.0,2,1,4.5,2.0,2.5,5.0,A2,2
describe,4.56,8,2.0,2,1,4.0,2.0,2.5,5.0,A2,2
year,5.96,4,2.0,1,0,4.5,2.5,2.0,4.0,A1,2
year,5.96,4,2.0,1,0,4.5,2.5,2.0,4.0,A1,2
style,5.11,5,2.0,1,0,4.0,2.0,2.5,5.0,B1,2
style,5.11,5,2.0,1,0,4.0,2.0,2.5,5.0,B1,2
message,5.0,7,2.0,2,0,4.5,2.5,2.0,5.0,A2,2
space,5.23,5,2.0,1,0,4.5,3.0,3.5,4.0,A1,2
space,5.23,5,2.0,1,0,4.5,3.0,3.5,4.0,A1,2
center,5.19,6,2.0,2,0,4.5,3.0,3.0,4.0,A1,2
center,5.19,6,2.0,2,0,4.5,3.0,3.0,4.0,A2,2
meeting,5.15,7,2.0,2,0,4.5,3.0,3.0,5.0,A1,2
crash,4.55,5,2.0,1,1,4.5,4.2,4.0,5.0,B1,4
crash,4.55,5,2.0,1,1,4.5,4.2,4.3,4.0,B1,4
moment,5.24,6,2.0,2,0,4.2,2.5,3.0,4.0,A2,2
moment,5.24,6,2.0,2,0,4.2,2.5,3.0,4.0,A2,2
prize,4.59,5,2.0,1,0,4.5,3.5,3.0,5.0,A2,2
pussy,4.24,5,2.0,2,0,4.0,3.5,3.0,5.0,B2,1
pussy,4.24,5,2.0,2,0,4.0,3.5,3.0,5.0,C1,1
leader,4.95,6,2.0,2,0,4.5,2.5,3.0,5.0,A2,2
leader,4.95,6,2.0,2,0,4.5,3.0,3.5,5.0,A2,2
bridge,4.77,6,2.0,1,1,4.3,4.5,4.6,4.0,A2,4
bridge,4.77,6,2.0,1,1,4.3,4.5,4.6,4.0,A2,4
covered,4.83,7,2.0,2,1,4.0,2.5,2.0,4.0,A2,2
couple,5.19,6,2.0,2,0,4.5,3.8,3.7,3.5,A2,2
couple,5.19,6,2.0,2,0,4.5,3.5,3.0,3.0,A2,2
crown,4.56,5,2.0,1,0,4.2,4.5,4.6,4.0,B2,4
country,5.48,7,2.0,2,0,4.5,3.5,3.0,5.0,A1,2
screen,4.85,6,2.0,1,0,4.5,3.5,3.0,5.0,A2,2
general,5.47,7,2.0,3,0,4.0,2.0,2.5,5.0,B1,5
general,5.47,7,2.0,3,0,4.0,2.0,2.5,5.0,B1,5
office,5.4,6,2.0,2,0,4.8,4.2,3.5,5.0,A1,2
monster,4.49,7,2.0,2,0,4.0,3.0,4.5,4.0,A2,1
plan,5.29,4,2.0,1,0,4.2,2.5,2.8,5.0,A1,2
plan,5.29,4,2.0,1,0,4.0,2.5,3.0,5.0,A1,2
do,6.35,2,2.0,1,0,4.5,1.5,1.5,2.0,A1,2
south,5.4,5,2.0,1,0,4.2,3.0,2.8,3.5,A1,2
south,5.4,5,2.0,1,0,4.0,3.0,2.5,3.5,A1,2
coast,4.87,5,2.0,1,0,4.2,4.5,4.6,5.0,A2,4
poor,5.09,4,2.0,1,0,4.0,2.0,2.5,3.5,A1,2
flag,4.58,4,2.0,1,0,4.2,4.5,4.0,3.0,A2,4
flag,4.58,4,2.0,1,0,4.2,4.5,4.0,3.5,A2,4
mob,4.03,3,2.0,1,1,3.5,3.0,3.0,8.0,B2,1
death,5.4,5,2.0,1,0,4.5,2.0,2.5,5.0,B1,2
death,5.4,5,2.0,1,0,4.5,2.0,3.0,5.0,B1,2
by,6.66,2,2.0,1,0,4.5,1.5,1.2,3.0,A1,2
deal,5.32,4,2.0,1,1,4.2,2.5,2.0,5.0,B1,2
deal,5.32,4,2.0,1,1,4.2,2.5,2.0,4.0,B1,2
daughter,5.07,8,2.0,2,0,4.8,4.5,4.7,3.0,A1,4
will,6.45,4,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
darkness,4.3,8,2.0,2,0,4.5,2.0,3.0,5.0,B1,2
dark,5.04,4,2.0,1,0,4.0,2.5,3.0,3.5,A1,2
be,6.79,2,2.0,1,0,5.0,1.5,1.2,2.0,A1,2
order,5.49,5,2.0,2,0,4.2,2.5,2.0,4.0,A1,2
order,5.49,5,2.0,2,0,4.2,2.5,2.0,4.0,A1,2
missing,5.05,7,2.0,2,0,4.0,2.0,2.5,3.5,B1,2
missing,5.05,7,2.0,2,0,4.0,1.5,1.5,4.0,B1,5
curved,3.83,6,2.0,2,0,4.0,3.5,3.8,5.0,B1,1
six,5.29,3,2.0,1,0,4.8,4.5,3.0,3.0,A1,4
down,5.88,4,2.0,1,1,4.0,2.5,2.0,3.0,A1,2
open,5.48,4,2.0,2,1,4.5,3.5,3.0,3.0,A1,2
mistook,3.07,7,2.0,2,1,3.5,2.0,2.5,7.5,B2,3
mistook,3.07,7,2.0,2,1,3.0,2.0,2.5,7.5,B2,3
