Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
muscles,4.14,7,5.200000000000029,2,1,4.2,4.5,4.3,4.0,A2,4
parked,3.91,6,8.004107142857144,2,0,4.0,3.0,2.5,5.0,A2,2
article,5.09,7,4.0,3,0,4.0,2.5,2.0,6.0,A1,5
decision,5.09,8,4.0,3,0,4.5,2.0,2.5,7.0,B1,5
defiance,3.48,8,8.0,2,1,3.5,2.0,2.5,8.0,C1,3
extrapolate,2.67,11,12.0,4,1,3.0,2.0,2.0,12.0,C1,0
sadness,3.88,7,2.0,2,1,4.5,2.0,3.5,4.0,B1,2
number,5.62,6,2.0,2,1,4.0,2.5,2.0,3.0,A1,2
after,6.11,5,2.0,2,0,4.5,1.5,1.5,3.0,A1,2
restructuring,3.62,13,12.53,4,1,3.5,2.0,2.5,12.0,C1,0
interred,2.79,8,12.6575,3,1,2.5,2.0,2.0,12.0,C1,0
falls,4.63,5,4.0,1,0,3.8,3.0,3.2,3.5,A1,2
worlds,4.23,6,4.0,1,0,4.0,2.5,3.5,5.0,A1,2
due,5.35,3,6.0,1,0,4.0,2.0,2.0,5.0,B1,2
scale,4.83,5,2.0,1,0,4.0,3.5,3.0,5.0,B1,2
gathering,4.25,9,6.0,3,1,4.0,2.5,3.0,5.0,B1,5
commit,4.33,6,8.0,2,1,3.5,2.0,2.5,8.0,B2,3
language,5.1,8,2.0,2,0,4.5,2.0,2.5,4.0,A1,2
fiercely,3.35,8,10.0,3,1,3.5,2.0,2.5,8.5,B2,0
believes,4.43,8,5.73,2,0,4.0,1.5,2.0,5.0,A2,5
parked,3.91,6,8.004107142857144,2,0,4.0,3.0,2.5,5.0,A2,2
steps,4.73,5,3.67,1,0,4.0,3.5,3.0,3.0,A1,2
hunger,4.1,6,2.0,2,1,4.5,3.0,3.5,3.0,A2,2
natural,5.11,7,4.0,3,0,4.5,3.0,3.5,4.0,B1,1
works,5.29,5,4.0,1,0,4.0,2.0,2.5,3.5,A1,2
rendition,3.45,9,12.0,3,1,3.0,2.5,2.0,10.0,C1,0
north,5.34,5,4.0,1,0,4.5,3.0,3.5,4.0,A1,2
seats,4.53,5,12.0,1,0,4.2,4.5,4.0,3.5,A1,4
conscription,2.99,12,12.0,3,1,3.0,2.0,2.5,12.0,C1,0
talk,5.42,4,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
mask,4.31,4,2.0,1,0,4.2,4.5,4.3,3.0,A2,4
psychopath,3.32,10,13.22,3,1,3.5,2.0,2.5,12.0,C1,0
brood,3.25,5,10.0,1,1,3.0,3.5,3.2,8.0,C1,1
counteractions,0.0,14,15.235249999999985,4,1,2.5,2.0,2.0,12.0,C1,0
weaponry,3.36,8,11.3,3,1,3.5,3.8,3.7,10.0,C1,0
replaced,4.55,8,4.0,2,0,4.0,2.0,2.5,6.0,B1,2
unalloyed,2.03,9,16.5,3,1,2.5,2.0,2.0,15.0,C1,0
web,4.74,3,4.0,1,0,4.5,3.0,3.5,8.0,A2,1
information,5.43,11,6.0,4,1,4.5,2.0,2.5,7.0,A2,5
reticular,2.13,9,11.3,4,1,2.5,2.0,2.0,12.0,C1,0
exploded,3.77,8,2.0,3,1,3.8,3.5,4.0,8.0,B1,1
suitable,4.38,8,6.0,3,0,4.0,2.0,2.5,6.5,B1,5
charade,2.9,7,8.0,2,1,3.0,2.0,2.5,8.0,C1,3
around,5.77,6,2.0,2,0,4.5,2.0,2.5,3.0,A1,2
designs,4.38,7,11.413666666666703,2,0,4.0,3.2,3.5,7.5,A2,1
got,5.91,3,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
provide,5.15,7,4.0,2,0,4.0,2.0,2.5,5.0,B1,2
seal,4.3,4,2.0,1,0,4.2,4.5,4.3,4.0,A1,4
espionage,3.47,9,10.0,3,1,3.5,2.0,2.5,12.0,C1,0
bail,4.01,4,6.0,1,1,3.8,3.2,2.5,8.0,B2,1
peaceful,4.28,8,2.0,2,0,4.2,2.5,3.8,5.0,B1,1
buoys,2.77,5,10.30807500000003,1,1,3.5,4.5,4.0,8.0,B2,1
diseases,4.36,8,5.983333333333333,3,1,4.0,2.5,2.0,7.0,B1,5
accident,4.71,8,2.0,3,0,4.5,3.0,3.5,5.0,A2,1
then,6.07,4,2.0,1,0,4.5,1.5,1.2,3.0,A1,2
squadron,3.69,8,8.0,2,1,3.0,3.5,3.2,10.0,C1,1
pleasantries,2.52,12,8.62307500000001,3,1,3.0,2.0,2.5,12.0,C1,0
blame,4.63,5,4.0,1,1,4.0,2.0,2.5,5.0,B1,2
sans,3.58,4,13.0,1,0,3.0,2.0,2.5,4.0,C1,3
deficit,4.06,7,12.0,3,1,3.5,2.0,2.0,10.0,B2,3
competitors,4.11,11,9.6197,4,1,3.5,2.8,2.7,8.5,B1,0
higher,5.18,6,2.04,1,0,4.0,2.0,2.5,5.0,A2,2
vehicles,4.62,8,6.0,3,0,4.2,4.5,4.3,4.0,A2,1
describing,4.23,10,5.60999999999997,3,0,4.0,2.0,2.5,5.0,A2,5
uncle,4.45,5,2.0,2,0,4.5,4.0,4.2,3.0,A1,4
world,5.89,5,6.0,1,0,4.5,3.0,3.5,3.0,A1,2
slight,4.22,6,4.0,1,0,3.5,2.0,2.5,5.0,B2,3
trash,4.42,5,2.0,1,0,4.2,4.5,4.0,4.0,B1,4
threw,4.46,5,2.0,1,1,4.0,3.5,3.5,3.0,A2,4
sink,4.21,4,2.0,1,1,4.5,4.7,4.6,3.5,A2,4
huge,5.06,4,2.0,1,1,4.5,2.5,3.0,4.0,A2,2
negative,4.79,8,6.0,3,0,4.0,2.0,2.5,7.0,B1,5
mull,2.94,4,10.0,1,1,3.0,2.0,2.5,8.0,C1,3
collaborations,3.32,14,11.57305,5,1,3.5,2.5,2.0,10.0,B2,0
nonfatal,1.95,8,11.16,3,1,3.0,2.0,2.5,12.0,C1,0
injured,4.51,7,2.0,3,1,4.0,2.5,3.0,5.0,B1,5
banks,4.69,5,8.0,1,0,4.2,3.5,3.0,4.0,A1,2
