Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
dumping,3.67,7,5.7745,2,1,3.8,3.2,2.5,8.5,B2,1
investigatory,2.53,13,10.43790000000002,6,1,3.0,2.0,2.5,12.0,C1,0
people,6.25,6,2.0,2,0,4.5,3.0,3.5,3.0,A1,2
pentagon,3.7,8,13.0,3,0,3.5,4.2,3.8,8.0,B2,1
creatine,2.8,8,11.147150000000025,2,0,3.0,3.5,2.5,12.0,C1,1
ionic,3.21,5,14.19,2,1,3.0,2.0,2.5,12.0,C1,3
aircraft,4.64,8,4.0,2,1,4.2,4.5,4.0,5.0,B1,4
services,5.31,8,6.1,3,0,4.0,2.0,2.5,8.0,A2,5
print,4.54,5,2.0,1,0,4.2,3.5,3.0,4.0,A1,2
thermonuclear,2.67,13,10.0,4,1,2.5,2.0,1.5,15.0,C1,0
hockey,4.42,6,2.0,2,0,4.7,4.5,4.3,7.0,A2,4
discovered,4.74,10,6.0,3,1,4.0,2.0,2.5,6.5,A2,5
minutes,5.31,7,6.0,3,0,4.5,3.0,2.5,5.0,A1,1
reloaded,2.91,8,12.02975000000009,3,1,3.0,2.0,2.5,12.0,B2,0
born,5.09,4,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
pits,3.72,4,4.0,1,1,3.5,4.2,3.8,5.0,B2,1
flatworm,1.71,8,8.0,2,1,2.5,4.2,3.8,10.0,C1,1
delivering,4.09,10,7.0,4,1,4.0,2.5,2.0,5.0,B1,5
slipped,3.99,7,2.0,1,0,3.7,2.8,3.0,3.5,B1,1
tough,4.77,5,2.0,1,0,4.0,2.5,2.0,5.0,B1,2
cocaine,3.98,7,10.0,2,0,4.0,3.5,3.0,13.0,B2,3
contains,4.68,8,4.231583333333331,2,1,4.0,2.0,2.0,6.0,B1,5
address,4.91,7,2.0,2,0,4.5,3.0,2.5,6.0,A2,2
